term_str,n,n_chars,p,s,i,h
the,4482,3,0.06256630744318499,15.983043284248104,3.998470228627105,0.25016951762670564
,3334,0,0.04654084538500195,21.48650269946011,4.425358773151082,0.20595993843438642
and,2287,3,0.03192528896085767,31.32313073895934,4.969156511725826,0.1586417575285745
i,1999,1,0.027904963984588756,35.835917958979486,5.16333440539287,0.14408266062287603
to,1590,2,0.022195544139817967,45.05408805031447,5.49358611196578,0.12193313303402745
a,1534,1,0.021413814283321234,46.698826597131685,5.545314394634565,0.1187463325893325
was,1165,3,0.01626277290747669,61.4901287553648,5.942282922595855,0.09663799772215327
of,1125,2,0.01570439443855045,63.67644444444444,5.992687876033099,0.0941115341523429
you,1047,3,0.014615556424144286,68.42024832855778,6.09635143520669,0.08910156838267637
in,1040,2,0.014517840192082193,68.88076923076923,6.106029349109043,0.08864635829852874
it,1014,2,0.014154894187280139,70.64694280078895,6.142555225134157,0.08694721925129872
said,966,4,0.013484840024568652,74.15734989648033,6.212517783301725,0.08377480845761162
he,955,2,0.013331285945613938,75.01151832460732,6.229040239214387,0.08304111659570244
on,639,2,0.008920096041096654,112.10641627543038,6.808725041190504,0.060734481284839076
we,550,2,0.007677703947735775,130.24727272727273,7.025109353725476,0.05393670981837361
that,526,4,0.007342676866380032,136.19011406844106,7.089478172845196,0.0520557473744566
had,478,3,0.006672622703668547,149.86610878661088,7.22753035415675,0.0482265831325999
at,476,2,0.006644703780222235,150.49579831932772,7.233579398829555,0.048064992375940425
with,474,4,0.0066167848567759225,151.13080168776372,7.2396539132392395,0.04790323238141995
up,469,2,0.006546987548160143,152.74200426439234,7.254953049622122,0.04749808727836249
were,461,4,0.0064353118543748955,155.3926247288503,7.27977422170816,0.0468476173461313
all,435,3,0.006072365849572841,164.68045977011494,7.363525571401407,0.044714021212234244
him,426,3,0.005946730694064437,168.15962441314554,7.39368754191166,0.04396826864780791
not,418,3,0.0058350550002791894,171.377990430622,7.421038030056615,0.04330216506454388
brett,414,5,0.005779217153386565,173.0338164251208,7.434910204638173,0.04296796058853375
his,410,3,0.005723379306493942,174.7219512195122,7.448917062632052,0.04263297777205793
me,408,2,0.0056954603830476295,175.57843137254903,7.455971820166003,0.04246519211887499
out,390,3,0.005444190072030822,183.6820512820513,7.521066848387887,0.04094611746707348
for,372,3,0.0051929197610140155,192.56989247311827,7.589238351029467,0.03941030580410634
